Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2015-11-23,Uluru,22.2,37.9,0.0,,,E,44.0,E,NE,30.0,17.0,13.0,9.0,1016.3,1011.6,,,29.8,36.7,No
2011-11-28,Walpole,8.5,20.2,0.2,,,WNW,57.0,W,WSW,20.0,26.0,55.0,77.0,1009.7,1008.6,,,16.6,16.6,No
2017-04-09,GoldCoast,18.4,26.6,1.0,,,SSE,31.0,SSE,ESE,20.0,19.0,82.0,68.0,1018.6,1013.5,,,23.0,25.3,No
2011-01-13,PerthAirport,20.0,36.4,0.0,12.0,12.2,SSW,54.0,N,SW,20.0,30.0,21.0,50.0,997.1,997.8,1.0,1.0,33.5,28.3,No
2014-05-14,Nuriootpa,5.5,23.2,0.0,2.0,9.4,NE,19.0,NE,NNW,4.0,9.0,56.0,32.0,1023.5,1019.8,4.0,5.0,15.4,22.3,No
2009-06-09,PerthAirport,8.5,23.3,0.0,1.8,8.9,NNE,35.0,NE,NNE,13.0,20.0,51.0,26.0,1019.7,1014.8,0.0,4.0,14.2,21.6,No
2014-02-14,Nuriootpa,18.7,21.6,52.4,5.2,0.0,NE,41.0,ENE,NE,13.0,15.0,96.0,96.0,1003.7,999.5,8.0,8.0,20.0,20.2,Yes
2013-11-01,Walpole,13.6,16.6,5.0,,,SE,30.0,SSE,SSE,11.0,13.0,99.0,74.0,1021.2,1020.7,,,14.2,15.4,Yes
2011-11-12,Cairns,22.7,30.6,0.0,8.2,8.2,SE,39.0,SSE,SE,17.0,26.0,70.0,55.0,1014.6,1011.5,8.0,2.0,25.2,29.2,No
2009-01-04,Walpole,12.9,24.9,0.0,,,SE,31.0,ESE,S,4.0,13.0,74.0,53.0,1019.7,1017.4,,,19.8,23.9,No
2011-08-29,CoffsHarbour,11.1,22.7,0.0,2.4,9.6,SW,43.0,SE,NNE,6.0,9.0,54.0,79.0,1018.6,1016.0,5.0,7.0,19.8,20.3,No
2009-04-25,Dartmoor,10.8,16.4,20.6,0.6,5.1,NW,72.0,N,W,19.0,35.0,96.0,83.0,998.5,991.5,,,12.1,12.9,Yes
2015-02-09,GoldCoast,20.8,30.2,0.0,,,SSE,54.0,SSE,SSE,20.0,41.0,62.0,60.0,1019.6,1019.0,,,27.5,28.4,No
